Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm)
1/1/2015,5792,9191
1/2/2015,12371,18222
1/3/2015,4834,6282
1/4/2015,8509,11700
1/5/2015,15792,20022
1/6/2015,9483,12003
1/7/2015,10685,12791
1/8/2015,9777,11667
1/9/2015,8631,11093
1/10/2015,6826,8189
1/11/2015,8204,10199
1/12/2015,9441,11589
1/13/2015,14134,17429
1/14/2015,14396,18105
1/15/2015,15463,19803
1/16/2015,15059,19084
1/17/2015,8243,10818
1/18/2015,2038,2435
1/19/2015,11913,15733
1/20/2015,17615,22740
1/21/2015,16734,21228
1/22/2015,17435,22630
1/23/2015,17080,22248
1/24/2015,5275,6723
1/25/2015,10235,14421
1/26/2015,4537,5979
1/27/2015,1405,2343
1/28/2015,6223,9907
1/29/2015,9845,14171
1/30/2015,9943,12945
1/31/2015,5752,7328
2/1/2015,7214,9186
2/2/2015,1686,2635
2/3/2015,5443,7816
2/4/2015,9854,13775
2/5/2015,9977,12607
2/6/2015,9334,11948
2/7/2015,7346,10045
2/8/2015,7180,9671
2/9/2015,5717,7234
2/10/2015,11289,14526
2/11/2015,12453,16204
2/12/2015,12651,16248
2/13/2015,8595,10773
2/14/2015,5124,6392
2/15/2015,2837,3289
2/16/2015,4500,5423
2/17/2015,5289,6869
2/18/2015,10001,12995
2/19/2015,8485,10080
2/20/2015,6825,8056
2/21/2015,3453,4164
2/22/2015,4654,6648
2/23/2015,8343,10519
2/24/2015,8483,10675
2/25/2015,12057,15655
2/26/2015,11047,14744
2/27/2015,10861,14313
2/28/2015,6836,8975
3/1/2015,3169,4042
3/2/2015,8019,10767
3/3/2015,7178,9430
3/4/2015,8265,10842
3/5/2015,1821,2604
3/6/2015,5953,8248
3/7/2015,6255,8849
3/8/2015,8711,13701
3/9/2015,16365,24159
3/10/2015,13080,17626
3/11/2015,21728,33446
3/12/2015,19246,26931
3/13/2015,17850,24699
3/14/2015,4302,5592
3/15/2015,9676,13635
3/16/2015,18476,26091
3/17/2015,16287,22462
3/18/2015,15050,11465
3/19/2015,16699,16176
3/20/2015,8786,11465
3/21/2015,10236,16176
3/22/2015,10638,16098
3/23/2015,14669,18957
3/24/2015,17532,23581
3/25/2015,15851,21456
3/26/2015,16193,22876
3/27/2015,15433,21520
3/28/2015,1255,1562
3/29/2015,10585,17373
3/30/2015,19250,26828
3/31/2015,15199,20532
4/1/2015,21566,31708
4/2/2015,26346,43134
4/3/2015,15978,23643
4/4/2015,15538,27764
4/5/2015,14962,29709
4/6/2015,25502,43529
4/7/2015,17640,24209
4/8/2015,19223,26004
4/9/2015,17723,23891
4/10/2015,17648,25628
4/11/2015,20451,39786
4/12/2015,21851,46764
4/13/2015,26980,43753
4/14/2015,24452,36555
4/15/2015,30184,49727
4/16/2015,29273,45915
4/17/2015,26164,42203
4/18/2015,31024,71371
4/19/2015,23444,46416
4/20/2015,12080,16377
4/21/2015,27057,43508
4/22/2015,23893,35999
4/23/2015,23886,34259
4/24/2015,22605,32678
4/25/2015,22963,46054
4/26/2015,23608,48664
4/27/2015,27657,43197
4/28/2015,32481,54129
4/29/2015,34427,59166
4/30/2015,31756,51077
5/1/2015,30345,48736
5/2/2015,28295,60188
5/3/2015,30446,69728
5/4/2015,35115,63531
5/5/2015,35990,60088
5/6/2015,32788,50987
5/7/2015,37762,64189
5/8/2015,37206,64255
5/9/2015,26813,51941
5/10/2015,28962,62364
5/11/2015,35068,57873
5/12/2015,38186,62939
5/13/2015,36162,57091
5/14/2015,44429,80286
5/15/2015,37687,64660
5/16/2015,26142,50862
5/17/2015,34006,73458
5/18/2015,33527,53794
5/19/2015,36272,58026
5/20/2015,36020,57290
5/21/2015,33076,50277
5/22/2015,33898,58351
5/23/2015,25985,56999
5/24/2015,27400,66211
5/25/2015,30636,69099
5/26/2015,38282,64504
5/27/2015,35952,57511
5/28/2015,38291,61662
5/29/2015,40179,69343
5/30/2015,33503,69481
5/31/2015,21196,40580
6/1/2015,16079,20369
6/2/2015,12706,15730
6/3/2015,36345,58749
6/4/2015,34390,52792
6/5/2015,32861,51079
6/6/2015,27910,55613
6/7/2015,32881,71994
6/8/2015,35453,58140
6/9/2015,37322,59489
6/10/2015,41386,69035
6/11/2015,39083,62993
6/12/2015,36801,60933
6/13/2015,31772,67103
6/14/2015,29829,62977
6/15/2015,26533,38705
6/16/2015,33832,52864
6/17/2015,40009,65208
6/18/2015,37326,56562
6/19/2015,39350,66914
6/20/2015,24937,45872
6/21/2015,27486,55513
6/22/2015,39758,66659
6/23/2015,34182,52805
6/24/2015,43484,73125
6/25/2015,41618,68362
6/26/2015,40599,68529
6/27/2015,16271,28233
6/28/2015,21588,42273
6/29/2015,39785,69309
6/30/2015,39839,65564
7/1/2015,39019,64472
7/2/2015,36962,62434
7/3/2015,27821,58884
7/4/2015,22347,53110
7/5/2015,26708,61185
7/6/2015,36174,62539
7/7/2015,37930,63163
7/8/2015,35900,57751
7/9/2015,32734,52402
7/10/2015,39687,71490
7/11/2015,32620,69705
7/12/2015,31853,68158
7/13/2015,39586,67998
7/14/2015,36671,58900
7/15/2015,35855,57781
7/16/2015,43302,76535
7/17/2015,40782,73884
7/18/2015,29619,61739
7/19/2015,29332,61512
7/20/2015,35960,59568
7/21/2015,39557,66191
7/22/2015,43602,75758
7/23/2015,43319,75512
7/24/2015,41201,72841
7/25/2015,32458,73133
7/26/2015,31325,66278
7/27/2015,39602,67841
7/28/2015,41321,69131
7/29/2015,40267,66299
7/30/2015,31878,50297
7/31/2015,39360,69897
8/1/2015,36088,84287
8/2/2015,32482,72633
8/3/2015,39912,69232
8/4/2015,41672,71146
8/5/2015,42149,71111
8/6/2015,43455,74669
8/7/2015,41967,74844
8/8/2015,39866,95931
8/9/2015,33654,78144
8/10/2015,40718,74754
8/11/2015,25692,42534
8/12/2015,44145,80366
8/13/2015,43174,78784
8/14/2015,40903,72319
8/15/2015,38777,92390
8/16/2015,30337,65629
8/17/2015,37446,64425
8/18/2015,39913,67805
8/19/2015,40721,69834
8/20/2015,39275,66772
8/21/2015,38033,66202
8/22/2015,34269,77058
8/23/2015,33059,71456
8/24/2015,38676,68193
8/25/2015,41052,71734
8/26/2015,42373,73578
8/27/2015,42801,74735
8/28/2015,41418,74240
8/29/2015,34053,74840
8/30/2015,32581,68990
8/31/2015,40043,67836
9/1/2015,43069,72939
9/2/2015,43004,72983
9/3/2015,42462,71265
9/4/2015,39572,70681
9/5/2015,33669,77956
9/6/2015,32875,82123
9/7/2015,33280,75257
9/8/2015,42344,71591
9/9/2015,43528,71173
9/10/2015,22023,31862
9/11/2015,47206,86598
9/12/2015,33282,68420
9/13/2015,34308,72749
9/14/2015,44367,83150
9/15/2015,48402,88238
9/16/2015,50780,91197
9/17/2015,50275,91433
9/18/2015,49946,95186
9/19/2015,42653,98568
9/20/2015,40099,90483
9/21/2015,47178,85002
9/22/2015,48664,84251
9/23/2015,48175,88117
9/24/2015,52706,96872
9/25/2015,51367,95467
9/26/2015,42559,93740
9/27/2015,38278,82841
9/28/2015,48009,90180
9/29/2015,48728,87702
9/30/2015,39450,65081
10/1/2015,34719,55662
10/2/2015,9444,12111
10/3/2015,16564,25241
10/4/2015,30214,59317
10/5/2015,44581,78665
10/6/2015,49720,89905
10/7/2015,50141,89586
10/8/2015,50179,88959
10/9/2015,37283,65046
10/10/2015,39348,87575
10/11/2015,38967,92607
10/12/2015,45584,102884
10/13/2015,49047,101421
10/14/2015,50000,99751
10/15/2015,48783,96975
10/16/2015,46486,93266
10/17/2015,31811,70864
10/18/2015,23978,49590
10/19/2015,36570,66941
10/20/2015,45377,89988
10/21/2015,49121,100309
10/22/2015,49604,100026
10/23/2015,44681,90710
10/24/2015,31713,71472
10/25/2015,29289,62798
10/26/2015,42166,81381
10/27/2015,44553,83174
10/28/2015,20736,34040
10/29/2015,45359,90367
10/30/2015,44521,90284
10/31/2015,31759,70082
11/1/2015,30622,66939
11/2/2015,44534,89099
11/3/2015,49326,100760
11/4/2015,49487,99144
11/5/2015,43006,81276
11/6/2015,47162,95321
11/7/2015,35586,79866
11/8/2015,32318,73329
11/9/2015,42262,78410
11/10/2015,21585,34847
11/11/2015,37705,68696
11/12/2015,37319,64556
11/13/2015,38970,70190
11/14/2015,25300,50403
11/15/2015,25991,54736
11/16/2015,40916,78389
11/17/2015,38939,68151
11/18/2015,41486,73030
11/19/2015,21890,36884
11/20/2015,38205,71192
11/21/2015,28038,56288
11/22/2015,23344,44743
11/23/2015,30136,51812
11/24/2015,32218,53981
11/25/2015,30295,55504
11/26/2015,13291,35956
11/27/2015,22829,51342
11/28/2015,15832,32196
11/29/2015,18453,36854
11/30/2015,30221,52674
12/1/2015,18399,29273
12/2/2015,23782,39484
12/3/2015,33917,59184
12/4/2015,34737,61717
12/5/2015,26355,56227
12/6/2015,24942,52485
12/7/2015,34139,60929
12/8/2015,35614,59619
12/9/2015,35305,59954
12/10/2015,39099,69925
12/11/2015,39059,72153
12/12/2015,31956,68858
12/13/2015,32001,72863
12/14/2015,32518,57195
12/15/2015,38660,67753
12/16/2015,35643,61011
12/17/2015,21960,35033
12/18/2015,30699,51270
12/19/2015,17776,30995
12/20/2015,17029,30624
12/21/2015,29800,54373
12/22/2015,22941,39410
12/23/2015,14817,28228
12/24/2015,18445,35231
12/25/2015,12331,37829
12/26/2015,13912,30690
12/27/2015,13176,30096
12/28/2015,18889,39889
12/29/2015,13347,24451
12/30/2015,22476,43736
12/31/2015,20375,40032
