Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
10/1/16,39809,34659659,91771,67278343,200544,2017,133
10/2/16,41018,34700677,100425,67378768,200664,2147,119
10/3/16,56369,34757046,116682,67495450,200829,1514,183
10/4/16,60196,34817242,123551,67619001,200954,1035,144
10/5/16,65031,34882273,126942,67745943,201115,1240,160
10/6/16,67580,34949853,137567,67883510,201234,1580,205
10/7/16,65881,35015734,142612,68026122,201369,2398,222
10/8/16,34624,35050358,86818,68112940,201485,2002,160
10/9/16,21687,35072045,46334,68159274,201539,713,56
10/10/16,52248,35124293,107487,68266761,201664,2013,163
10/11/16,58754,35183047,113228,68379989,201761,1172,142
10/12/16,57497,35240544,119851,68499840,201880,1170,153
10/13/16,61209,35301753,117523,68617363,201984,1064,168
10/14/16,60561,35362314,123000,68740363,202090,1592,183
10/15/16,51991,35414305,138233,68878596,202215,3904,207
10/16/16,48866,35463171,126550,69005146,202343,3195,172
10/17/16,62649,35525820,132131,69137277,202502,1447,236
10/18/16,68224,35594044,143635,69280912,202653,1656,194
10/19/16,69758,35663802,145347,69426259,202772,1902,164
10/20/16,63668,35727470,131686,69557945,202893,1377,198
10/21/16,40865,35768335,80787,69638732,202960,724,102
10/22/16,25301,35793636,55557,69694289,203019,658,45
10/23/16,41462,35835098,99878,69794167,203137,2616,134
10/24/16,55254,35890352,106893,69901060,203269,1145,146
10/25/16,52667,35943019,96848,69997908,203349,716,102
10/26/16,52466,35995485,103870,70101778,203410,809,85
10/27/16,21054,36016539,39660,70141438,203449,101,23
10/28/16,46233,36062772,89857,70231295,203492,766,111
10/29/16,42513,36105285,103274,70334569,203579,2615,153
10/30/16,37760,36143045,107572,70442141,203697,2971,114
10/31/16,50071,36193116,107875,70550016,203787,1090,123
11/1/16,55944,36249060,110056,70660072,203888,868,105
11/2/16,62133,36311193,133258,70793330,203993,1242,141
11/3/16,59632,36370825,124673,70918003,204108,943,174
11/4/16,57867,36428692,126507,71044510,204195,1538,207
11/5/16,48687,36477379,128639,71173149,204301,3416,177
11/6/16,39413,36516792,104186,71277335,204428,2293,97
11/7/16,49883,36566675,106484,71383819,204520,972,119
11/8/16,56589,36623264,123718,71507537,204616,1137,107
11/9/16,38050,36661314,75883,71583420,204660,257,40
11/10/16,50863,36712177,111472,71694892,204728,813,139
11/11/16,45826,36758003,105021,71799913,204802,1248,165
11/12/16,34664,36792667,86968,71886881,204865,1916,114
11/13/16,36806,36829473,95679,71982560,204958,2076,95
11/14/16,48810,36878283,113590,72096150,205034,728,97
11/15/16,22884,36901167,48797,72144947,205073,105,16
11/16/16,53328,"	36954495",107831,"	72252778",205170,703,113
11/17/16,53889,"	37008384",109418,"	72362196",205231,711,106
11/18/16,53370,"	37061754",109802,"	72471998",205286,1051,125
11/19/16,41208,"	37102962",98021,"	72570019",205376,2272,87
11/20/16,20616,"	37123578",45772,"	72615791",205407,350,34
11/21/16,32964,"	37156542",69754,"	72685545",205449,148,38
11/22/16,36723,"	37193265",72592,"	72758137",205479,290,35
11/23/16,34462,"	37227727",73005,"	72831142",205501,481,56
11/24/16,12122,"	37239849",42343,"	72873485",205518,641,73
11/25/16,20980,"	37260829",62444,"	72935929",205545,1011,67
11/26/16,23810,"	37284639",65654,"	73001583",205572,1356,44
11/27/16,24076,"	37308715",74381,"	73075964",205607,945,31
11/28/16,42086,"	37350801",83300,"	73159264",205667,485,42
11/29/16,14584,"	37365385",30989,"	73190253",205696,48,9
11/30/16,24434,"	37389819",52424,"	73242677",205729,117,10
12/1/16,43233,"	37433053",90239,"	73332916",205762,389,58
12/2/16,42358,"	37475411",89092,"	73422008",205794,440,52
12/3/16,29853,"	37505264",70853,"	73492861",205824,854,58
12/4/16,27454,"	37532718",71729,"	73564590",205857,930,28
12/5/16,35927,"	37568645",80214,"	73644804",205897,278,38
12/6/16,33325,"	37601970",67187,"	73711991",205939,228,26
12/7/16,38010,"	37639980",76605,"	73788596",205967,270,18
12/8/16,39621,"	37679601",72219,"	73860815",205998,235,23
12/9/16,33540,"	37713141",63950,"	73924765",206021,214,31
12/10/16,22379,37735520,52716,73977481,206033,490,20
12/11/16,17798,"	37753318",41740,"	74019221",206049,287,6
12/12/16,29035,"	37782353",58701,"	74077922",206066,175,14
12/13/16,39023,"	37821376",68858,"	74146780",206090,299,21
12/14/16,37799,"	37859175",71798,"	74218578",206130,257,16
12/15/16,25002,"	37884177",45840,"	74264418",206145,80,13
12/16/16,24484,"	37908661",48288,"	74312706",206171,139,11
12/17/16,6993,"	37915654",22363,"	74335069",206176,36,7
12/18/16,16295,"	37931949",38459,"	74373528",206200,168,14
12/19/16,25648,"	37957597",50405,"	74423933",206225,119,12
12/20/16,27677,"	37985274",50408,"	74474341",206250,202,22
12/21/16,30611,"	38015885",55746,"	74530087",206270,244,20
12/22/16,30874,"	38046759",56441,"	74586528",206293,302,18
12/23/16,26335,"	38073094",53318,"	74639846",206320,399,27
12/24/16,8014,38081108,28033,"	74667879",206334,147,10
12/25/16,9919,38091027,38209,"	74706088",206369,1052,43
12/26/16,10774,"	38101801",32446,"	74738534",206400,315,27
12/27/16,25946,"	38127747",61379,"	74799913",206450,960,68
12/28/16,23596,"	38151343",52937,"	74852850",206476,619,38
12/29/16,13202,"	38164545",29631,"	74882481",206503,104,8
12/30/16,21366,"	38185911",45743,"	74928224",206543,641,49
12/31/16,15925,"	38201836",46810,"	74975034",206585,798,33
