Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
1/1/19,22145,44131,297823,2429,49
1/2/19,38249,58975,297908,1062,36
1/3/19,42181,62500,297976,969,31
1/4/19,44420,65739,298017,1173,33
1/5/19,17636,24326,298048,462,8
1/6/19,31764,50481,298094,1711,31
1/7/19,36928,52310,298152,514,18
1/8/19,41728,60469,298218,654,23
1/9/19,44882,63480,298263,646,23
1/10/19,39449,53225,298299,478,13
1/11/19,33196,44226,298331,465,23
1/12/19,25431,35133,298361,772,26
1/13/19,23020,33018,298399,700,18
1/14/19,35408,48021,298439,402,9
1/15/19,39538,54751,298470,511,19
1/16/19,40854,56553,298510,513,7
1/17/19,39417,53430,298546,463,14
1/18/19,34478,47215,298574,542,27
1/19/19,23933,34580,298595,865,28
1/20/19,14440,19131,298616,368,8
1/21/19,10392,11911,298632,141,5
1/22/19,28913,37788,298665,315,14
1/23/19,42028,59442,298692,526,10
1/24/19,20328,27931,298721,260,7
1/25/19,39298,54567,298748,621,21
1/26/19,26607,38634,298778,933,18
1/27/19,30338,48280,298828,1510,19
1/28/19,36172,49109,298878,448,13
1/29/19,31353,42066,298919,341,12
1/30/19,25489,33178,298947,263,8
1/31/19,18879,22941,298975,186,8
